country,continent,cases,todayCases,deaths,todayDeaths,recovered,active,critical,tests,population,casesPerOneMillion,deathsPerOneMillion,updated,event_ts,updated_ts,cases_per_million,deaths_per_million,tests_per_thousand,ingest_time,source_system,event_date
Dominica,North America,16038,0,74,0,15964,0,0,229344,72344,221691.0,1023.0,1755946217305,2025-08-23 18:50:17,2025-08-23 18:50:17,221690.81,1022.89,3170.19,2025-08-23 18:53:13.025,disease.sh,2025-08-23
El Salvador,North America,201858,3,4230,0,179410,18215,0,2610120,6550389,30816.0,646.0,1755946217305,2025-08-23 18:50:17,2025-08-23 18:50:17,30816.19,645.76,398.47,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Slovakia,Europe,1877607,2,21224,0,1856381,0,23,7448790,5460193,343872.0,3887.0,1755946217305,2025-08-23 18:50:17,2025-08-23 18:50:17,343871.91,3887.04,1364.2,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Burundi,Africa,54730,9,38,0,53569,1114,0,345752,12624840,4334.0,3.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,4335.1,3.01,27.39,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Caribbean Netherlands,North America,11682,0,38,0,10476,1168,0,30126,26647,438398.0,1426.0,1755946217305,2025-08-23 18:50:17,2025-08-23 18:50:17,438398.32,1426.05,1130.56,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Congo,Africa,25376,1,386,0,24006,983,0,347818,5797805,4377.0,67.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,4376.83,66.58,59.99,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Belize,North America,71410,1,688,0,0,70721,0,576016,412190,173243.0,1669.0,1755946217305,2025-08-23 18:50:17,2025-08-23 18:50:17,173245.35,1669.13,1397.45,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Honduras,North America,474595,5,11165,0,0,463425,0,1660672,10221247,46432.0,1092.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,46432.2,1092.33,162.47,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Zambia,Africa,349319,15,4069,0,341316,3919,0,4112976,19470234,17940.0,209.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,17941.18,208.99,211.24,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Argentina,South America,10128847,2,130841,0,9997258,746,0,35716099,46010234,220143.0,2844.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,220143.35,2843.74,776.26,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Réunion,Africa,494596,1,921,0,0,493674,0,1603660,908061,544672.0,1014.0,1755946217305,2025-08-23 18:50:17,2025-08-23 18:50:17,544672.66,1014.25,1766.03,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Wallis And Futuna,Australia-Oceania,3550,0,8,0,438,3104,0,20509,10982,323256.0,728.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,323256.24,728.46,1867.51,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Bhutan,Asia,62698,1,21,0,61564,1112,0,2303734,787941,79571.0,27.0,1755946217305,2025-08-23 18:50:17,2025-08-23 18:50:17,79571.95,26.65,2923.74,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Mauritius,Africa,43025,0,1051,0,41278,696,0,358675,1274727,33752.0,824.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,33752.33,824.49,281.37,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Palau,Australia-Oceania,6290,0,10,0,6276,4,0,71435,18233,344979.0,548.0,1755946217305,2025-08-23 18:50:17,2025-08-23 18:50:17,344978.88,548.46,3917.9,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Croatia,Europe,1309729,1,18687,0,1258432,32609,0,5660086,4059286,322650.0,4604.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,322650.09,4603.52,1394.36,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Macedonia,Europe,350568,1,9976,0,337068,3523,0,2226218,2081304,168436.0,4793.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,168436.71,4793.15,1069.63,2025-08-23 18:53:13.025,disease.sh,2025-08-23
