country,continent,cases,todayCases,deaths,todayDeaths,recovered,active,critical,tests,population,casesPerOneMillion,deathsPerOneMillion,updated,event_ts,event_date
Faroe Islands,Europe,34659,1,28,0,0,34630,0,778000,49233,703959.0,569.0,1755946217304,2025-08-23 18:50:17,2025-08-23
New Caledonia,Australia-Oceania,80064,0,314,0,0,79750,0,98964,290915,275214.0,1079.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Solomon Islands,Australia-Oceania,25954,0,199,0,0,25755,0,0,721159,35989.0,276.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Montenegro,Europe,296542,0,2846,0,291794,1902,0,2769281,627950,472238.0,4532.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Saint Vincent and the Grenadines,North America,9675,1,124,0,9493,57,0,114198,111551,86723.0,1112.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Libyan Arab Jamahiriya,Africa,507274,0,6437,0,500835,2,0,2483854,7040745,72048.0,914.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Bahrain,Asia,729549,0,1574,0,727915,60,0,10948549,1783983,408944.0,882.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Grenada,North America,19694,1,238,0,19358,97,4,182982,113475,173545.0,2097.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Saint Helena,Africa,2167,1,0,0,2,2164,0,1,6115,354211.0,0.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Curaçao,North America,45987,1,295,0,44720,971,3,496693,165529,277812.0,1782.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Mongolia,Asia,1011496,0,2284,0,1009212,0,0,4030052,3378078,299429.0,676.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Peru,South America,4572686,19,222161,0,4350506,0,4,39010227,33684208,135751.0,6595.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Russia,Europe,24124295,80,402757,1,23545818,175641,0,273400039,145805947,165454.0,2762.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Panama,North America,1059893,0,8727,0,1051102,64,16,7882627,4446964,238341.0,1962.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Zambia,Africa,349319,15,4069,0,341316,3919,0,4112976,19470234,17940.0,209.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Afghanistan,Asia,234179,5,7996,0,211080,15098,0,1390742,40754388,5746.0,196.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Uganda,Africa,172157,8,3632,0,100431,68086,0,3012444,48432863,3554.0,75.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Luxembourg,Europe,391232,0,1232,0,0,390000,0,4587146,642371,609044.0,1918.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Uzbekistan,Asia,253672,10,1637,0,241486,10539,23,1377952,34382084,7378.0,48.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Cayman Islands,North America,31473,1,37,0,8553,22882,1,222774,67277,467797.0,550.0,1755946217304,2025-08-23 18:50:17,2025-08-23
